Date,Aggregator,Market Real,Crop,Quantity Real,Price,Amount,State,Price_std,Price_mean,Mean-Deviation
2015-12-23,2287,1,3,67.0,50.0,3350.0,1,20.1246117975,14.0,-36.0
2016-11-29,2586,12,4,320.0,55.0,17600.0,1,24.75,17.875,-37.125
2016-10-29,2749,3,40,165.0,90.0,14850.0,1,44.9098634304,39.625,-50.375
2017-03-11,3917,27,23,2000.0,400.0,800000.0,1,43.3012701892,450.0,50.0
2017-04-29,4007,22,1,21.0,44.0,924.0,1,17.0391705588,24.3333333333,-19.6666666667
2017-06-17,4128,8,17,125.0,125.0,15625.0,1,27.366117952,18.8235294118,-106.176470588
2017-06-08,4128,8,21,85.0,65.0,5525.0,1,22.6310995461,18.8333333333,-46.1666666667
2017-03-16,4129,1,17,234.0,14.0,3276.0,1,15.5884572681,32.0,18.0
2017-08-01,4424,56,6,125.0,125.0,15625.0,1,29.2566638726,19.3333333333,-105.666666667
